Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
0.072,238.82,5.2,0,0,17,272219
0.148,242.25,1.4,0,0,0,273659
0.088,241.9,5.4,0,0,18,275099
0.216,241.46,5.8,0,0,19,276539
0.21,242.86,1.6,0,1,0,277979
0.438,240.13,8,0,22,0,279419
0.068,239.44,10,39,0,0,280859
0.05,240.65,5.8,0,0,17,282299
0.748,237.96,6,0,0,0,283739
0.062,240.74,0.8,0,0,0,285179
0.08,241.16,1.2,0,1,0,286619
0.122,243.21,1.2,0,0,0,288059
0.106,242.17,1,0,1,0,289499
0.104,240.58,5.8,0,0,17,290939
0.254,241.67,1.8,2,2,0,292379
0.242,238.55,6,0,12,0,293819
0.214,242.72,2.4,0,1,0,295259
0.12,240.66,1,0,0,0,296699
0.234,240.23,1.6,0,2,0,298139
0.242,240.86,1.6,0,2,0,299579
0.098,240.8,2,0,2,0,301019
0.214,240.94,3.4,0,0,0,302459
0.074,236.38,2,0,1,0,305339
0.106,236.23,1,0,0,0,306779
0.108,230.51,1.2,0,0,0,308219
0.046,234.15,6,0,0,17,309659
0.7,229.84,17.4,0,28,0,311099
0.308,232.29,6.4,0,0,0,312539
0,236.49,1.2,0,0,0,313979
0.196,236.57,2.4,0,0,0,315419
0,234.81,1,0,0,0,316859
0.082,235.79,1.2,0,0,0,318299
0.098,235.32,2,0,0,0,319739
0,237.59,3.2,0,0,0,321179
0.196,235.55,1.8,0,1,0,322619
0.088,234.86,0.8,0,0,0,324059
0,233.86,5,0,0,17,325499
0.388,235.06,3.8,0,0,0,326939
0,235.56,0.4,0,0,0,328379
0.126,236.56,1,0,0,0,329819
0.226,236.81,1.6,0,0,0,331259
0.122,236.18,1.6,0,0,0,332699
0,237.49,0.4,0,0,0,334139
0,236.85,0.6,0,0,0,335579
0.086,235.99,3.4,0,0,0,337019
0.118,235.71,1,0,0,0,338459
0.22,235.74,1.4,0,0,0,339899
0.116,235.83,1,0,0,0,341339
0.094,236.35,0.8,0,0,0,342779
0.12,236.01,1,0,0,0,344219
0,235.51,0.4,0,0,0,345659
0.236,239.11,1.6,0,0,0,347099
0.15,243.57,1,0,0,0,348539
0.138,240.4,1,0,0,0,349979
0,241.66,0.4,0,0,0,351419
0.238,241.53,1.4,0,0,0,352859
0,238.02,13.4,0,35,17,354299
0.248,241.56,1.4,0,0,0,355739
0.086,238.03,5,0,0,18,357179
0.326,240.73,11.4,39,0,0,358619
0,241.55,1,0,0,0,360059
0.278,235.45,10.6,38,2,0,362939
0.206,237.88,3.8,0,2,0,364379
0.214,239.91,1.4,0,2,0,365819
0.226,240.05,1.8,0,0,0,367259
0.134,242.04,1,0,0,0,368699
0.09,240.48,1.8,0,0,0,370139
0,242.58,6.6,0,0,0,371579
0.208,240.11,6.6,0,2,18,373019
0.294,235.11,13.6,0,2,17,374459
0.12,238.73,1,0,0,0,375899
0.11,239.35,6,0,2,17,377339
0.216,239.84,5.8,0,1,17,378779
0.084,238.02,3.8,0,0,11,380219
0.132,241.75,1,0,0,0,381659
0.07,237.47,5.8,0,0,18,383099
0.116,240.15,3.8,0,0,0,384539
0.248,241.15,1.8,0,1,0,385979
0.128,241.89,1.4,0,0,0,387419
0.222,239.54,1.4,0,0,0,388859
0.096,237.74,3,0,0,0,390299
0.248,240.91,1.6,0,1,0,391739
0.118,241.52,1.2,0,0,0,393179
0.082,237.92,3.8,0,1,0,394619
0.09,238.91,0.8,0,2,0,396059
0.222,236.39,6,0,1,17,397499
0.078,240.37,6.2,0,0,17,398939
0.102,239.95,1,0,0,0,400379
0.104,240.33,1,0,0,0,401819
0.14,238.46,2,0,1,0,403259
0.212,240.64,2.2,0,1,0,404699
0.092,238.94,1,0,1,0,406139
0,237.76,2.4,0,0,0,407579
0,238.85,2.6,0,0,0,409019
0,240.33,0.8,0,0,0,410459
0.356,239.31,2.8,0,0,0,411899
0.398,238.21,11.8,39,1,0,413339
0.06,239.53,2.4,0,0,0,414779
0.18,237.34,6.4,0,2,18,416219
0.068,237.11,8.2,0,28,0,417659
0.316,237.92,7,0,1,17,419099
0.058,239.82,1.4,0,1,0,420539
0.048,240.52,1,0,0,0,421979
0.596,237.94,8.8,1,0,18,423419
0.17,236.45,2.2,0,0,0,424859
0.092,238.48,1.4,0,0,0,426299
0.126,237.52,6.2,0,0,17,427739
0.222,240.88,1.8,0,1,0,429179
0.088,237.92,1.4,0,0,0,430619
0,240.31,1.2,0,0,0,432059
0.098,240.1,2.4,0,1,0,433499
0.052,237.78,6,0,0,17,434939
0,239.19,1.2,0,0,0,436379
0.162,239.89,1.4,0,0,0,437819
0,240.51,1,0,0,0,439259
0,237.8,1.2,0,1,0,440699
0,239.86,3.4,0,0,0,442139
0.068,238.82,6,0,0,17,443579
0.302,241.5,3.4,0,1,0,445019
0.236,241.7,2,0,1,0,446459
0.12,237.22,6.2,0,2,17,447899
0.232,238.58,6.8,0,2,0,449339
0.336,241.69,3.6,0,1,0,450779
0.052,240.93,3.2,0,0,0,452219
0.086,237.66,1.2,0,1,0,453659
0,238.39,1.6,0,0,0,455099
0.088,239.93,1.2,0,2,0,456539
0.084,237.86,1.2,0,2,0,457979
0,236.76,6,0,3,17,459419
0.08,239.69,5.6,0,1,18,460859
0.086,238.08,5.6,0,0,18,462299
0,236.67,0.8,0,0,0,463739
0.084,232.84,22,0,35,17,465179
0.05,235.46,9,0,0,0,466619
0.236,239.78,7,0,0,0,468059
0.232,236.07,7.2,0,0,0,469499
0,238.34,6.8,0,0,0,470939
0.056,236.07,11.4,0,1,18,472379
0.422,235.53,17.2,8,0,17,473819
0.05,239.32,3.8,0,0,0,475259
0.178,236.34,3.2,0,0,0,476699
0.248,239.94,15,0,1,18,478139
0.108,235.21,10.6,0,0,0,479579
0.062,236.26,2,0,0,0,481019
0,237.06,10.6,0,0,17,482459
0.276,231.42,25,0,35,16,483899
0.138,236.69,7,0,0,0,485339
0.046,239.16,6.6,0,0,0,486779
0.14,238.51,6.2,0,2,0,488219
0,236.22,10.6,0,0,0,489659
0.14,237.96,9.8,0,0,0,491099
0.096,239.84,2.8,0,1,0,492539
0.058,240.01,5.6,0,0,18,493979
0,240.55,5,0,0,0,495419
0.05,237.66,2.4,0,0,0,496859
0.066,241.57,9.4,0,0,0,498299
0.07,242.04,6.6,0,0,0,499739
0.084,240.45,2.4,0,0,0,501179
0.264,241.35,6.2,0,2,0,502619
0.43,235.08,13.2,1,0,17,504059
0.282,237.81,10,0,4,0,505499
0.228,237.72,6.2,0,1,0,506939
0,237.25,5,0,0,0,508379
0.288,239.74,8.8,0,2,0,509819
0,234.89,8,0,0,0,511259
0.21,236.71,4.6,0,0,0,512699
0.062,233.03,20,0,0,17,514139
0.274,233.19,15.4,0,1,16,515579
0.08,235.66,14.2,0,0,17,517019
0.092,236.75,7.8,0,0,0,518459
0.09,237.14,8.8,0,0,0,519899
0.108,238.76,6.6,0,0,0,521339
0.182,235.21,6.2,0,1,0,522779
0.224,236.81,13.8,0,2,17,524219
0.076,238.74,10.6,0,0,17,525659
0.116,239.85,8,0,0,0,527099
0.28,240.08,11,0,0,0,528539
0,240.94,9.2,0,1,0,529979
0.046,240.7,10,0,0,17,531419
0,236.92,11.4,0,0,0,532859
0,237.9,5.8,0,0,0,534299
0.128,234.85,13.2,0,0,0,535739
0.062,238.95,6.2,0,0,17,537179
0.102,240.35,6.8,0,0,0,538619
0.362,235.82,13,0,0,17,540059
0.324,239.67,12.2,0,0,0,541499
0.234,240.79,12.6,0,18,18,542939
0.228,236.66,11.6,0,0,0,544379
0.246,234.23,24.4,37,0,17,545819
0.082,234.79,13.8,0,1,17,547259
0.098,239.37,10.8,0,0,0,548699
0,238.26,2.6,0,0,0,550139
0,236.43,10.4,0,0,18,551579
0.052,236,8.2,0,1,17,553019
0.092,229.93,16,0,0,16,554459
0,233.44,10.2,0,0,0,555899
0.086,237.15,2.8,0,0,0,557339
0.074,239.3,3.4,0,1,0,558779
0.302,235.46,9.2,0,1,0,560219
0.054,239.07,3.6,0,0,0,561659
0.062,236.72,5.6,0,0,0,563099
0,232.91,19.2,1,0,17,564539
0.192,232.25,15.4,1,0,17,565979
0.068,236.29,3.6,0,0,0,567419
0.178,236.35,9,0,1,0,568859
0.056,233.43,6.4,0,0,0,570299
0.054,240.78,2.8,0,0,0,571739
0.064,238.24,8.6,0,0,18,573179
0.196,235.57,9.6,0,1,17,574619
0.084,236.55,11.2,0,0,0,576059
0.066,233.39,4.8,0,1,0,577499
0.216,239.11,5.4,0,2,0,578939
0.062,237.47,7.6,0,0,0,580379
0,234.51,12.6,0,0,17,581819
0.05,240.24,7,0,0,0,583259
0.084,234.96,7.6,0,0,17,584699
0.168,235.81,12,28,0,0,586139
0.05,237.82,2,0,0,0,587579
0.072,239.96,3,0,1,0,589019
0.058,235.67,7.4,0,1,0,590459
0.06,240.29,7.4,0,0,17,591899
0.186,239.02,2.8,0,0,0,593339
0.118,233.49,12.2,0,0,17,594779
0,235.05,8.4,0,0,0,596219
0.054,236.88,2.8,0,0,0,597659
0.124,236.06,11.8,0,0,17,599099
0.068,242.82,5.6,0,0,0,600539
0.188,238.6,3.2,0,0,0,601979
0.052,234.93,7.8,0,0,0,603419
0.086,238.71,3,0,0,0,604859
0.086,235.35,12.4,0,0,17,606299
0.084,236.62,5.8,0,0,0,607739
0.074,237.64,4.4,0,0,0,609179
0.054,230.05,7.8,0,0,0,610619
0.082,235.27,4.6,0,0,0,612059
0.064,238.66,2.8,0,0,0,613499
0.192,232.62,17.4,0,2,16,614939
0.094,240.9,5.8,0,2,0,616379
0,238.4,1.2,0,0,0,617819
0,240.97,5.8,0,0,0,619259
0.396,238.43,7,0,0,0,620699
0.048,236.68,7.8,0,0,0,622139
0,239.15,2.4,0,0,0,623579
0.098,233.59,14.2,0,0,17,625019
0,236.33,0.8,0,0,0,626459
0,239.07,0.8,0,0,0,627899
0.07,237.22,1.2,0,0,0,629339
0,237.87,0.8,0,0,0,630779
0.088,237.33,1.2,0,1,0,632219
0.074,233.05,2.4,0,1,0,633659
0,239.46,2,0,0,0,635099
0.096,236.5,1.2,0,0,0,636539
0.138,240.17,8,0,24,0,637979
0.196,239.44,6.8,0,1,18,639419
0.194,237.06,17,0,37,0,640859
0.05,237.83,9.6,0,0,18,642299
0,242.02,1,0,0,0,643739
0.174,239.31,8.8,0,0,18,645179
0.07,237.88,3.2,0,0,0,646619
0,242.15,1.2,0,0,0,648059
0.062,235.7,14.2,0,1,17,649499
0,242.2,0.8,0,0,0,650939
0,236.28,13.4,38,0,0,652379
0.09,239,6.4,0,3,18,653819
0.17,236.44,5,0,0,0,655259
0.164,237.32,13.2,38,0,0,656699
0.108,241.55,1.4,0,2,0,658139
0.138,241.66,6.4,0,3,18,659579
0,239.62,3.2,0,0,0,661019
0.238,240.22,5.2,0,1,0,662459
0.326,240.08,8.2,0,5,17,663899
0.07,237.11,9.8,0,0,17,665339
0.098,241.25,10.4,1,0,18,666779
0.216,240.9,5.4,0,1,0,668219
0.242,242.97,2.8,0,2,0,669659
0.248,240.05,8.4,0,23,0,671099
0.088,240.68,8.8,0,0,18,672539
0,242.14,2,0,0,0,673979
0.362,238.3,8.6,0,0,17,675419
0.334,234.42,21.4,37,0,16,676859
0,243.97,1,0,0,0,678299
0.122,243.94,1.8,0,0,0,679739
0.27,237.36,3.4,0,0,0,681179
0.056,241.68,2.6,0,0,0,682619
0.092,239.61,1.4,0,0,0,684059
0.198,237.67,7.2,0,1,18,685499
0.05,241.51,2.8,0,0,1,686939
0.102,243.99,1.4,0,0,0,688379
0,239.12,5.6,0,0,18,689819
0.218,242.13,2.2,0,0,1,691259
0.108,242.4,5.8,0,0,19,692699
0,238.64,5.6,0,0,18,694139
0.296,239.74,16.8,2,37,19,695579
0.382,232.49,20,1,38,17,697019
0.24,241.74,2,0,0,1,698459
0,239.55,1.2,0,0,0,699899
0.086,239.18,5.6,0,1,18,701339
0,241.28,5.6,0,0,19,702779
0.126,242.35,1.6,0,0,1,704219
0.476,235.84,13,0,1,17,705659
0.062,242.03,1.6,0,0,1,707099
0,242.98,1,0,0,0,708539
0,240.5,5.8,0,0,18,709979
0.092,242.33,1.4,0,0,1,711419
0.226,239.14,1.8,0,2,1,712859
0.1,241.26,1.4,0,1,0,714299
0.09,241.05,2.8,0,2,1,715739
0.072,240.3,5.8,0,1,18,717179
0,241.49,1.4,0,0,1,718619
0.084,239.27,6,0,1,18,720059
0.226,239.42,2,0,2,1,721499
0.112,240.44,1.4,0,0,1,722939
0.102,241.97,6.4,0,0,18,724379
0.09,241.27,3.4,0,0,11,725819
0.064,239.12,12.6,39,0,1,727259
0.112,243.45,1.4,0,1,1,728699
0.164,240.45,8.2,0,0,28,730139
0.118,241.1,1.4,0,0,0,731579
0,242.33,1.2,0,0,0,733019
0.058,239.49,6.2,0,0,18,734459
0.238,241.63,8.6,0,0,19,735899
0.172,241.09,4,0,0,1,737339
0.074,240.42,5.8,0,0,18,738779
0.23,242.26,1.6,0,1,0,740219
0.372,243.31,2.2,0,2,0,741659
0.164,240.61,6.4,0,0,18,743099
0.134,241.34,3.8,0,0,0,744539
0.302,237.72,2.6,0,0,1,745979
0,241.11,3.2,0,1,1,747419
0,240.06,0.6,0,0,1,748859
0.122,244.25,1,0,0,1,750299
0,242.47,0.6,0,0,1,751739
0,240.53,0.6,0,0,1,753179
0.122,238.09,5.4,0,0,18,754619
0.062,240.36,6,0,0,19,756059
0,239.49,10.4,0,37,1,757499
0.268,241.12,2.4,0,1,0,758939
0.236,238.01,10,0,18,18,760379
0.126,242.33,5.6,0,0,19,761819
0.116,239.5,1,0,0,1,763259
0.12,241.69,2,0,0,1,764699
0.092,240.19,6.4,0,0,19,766139
0.338,241.51,5.4,0,0,1,767579
0.202,235.88,1.6,0,1,0,769019
0.102,234.69,1,0,2,0,770459
0.088,237.18,1.2,0,1,1,771899
0,236.07,0.6,0,0,1,773339
0.078,240.39,2,0,0,1,774779
0,238.6,5.4,0,0,18,776219
0.052,239.88,3,0,1,1,777659
0.12,241.4,2,0,0,1,779099
0.24,241.26,1.6,0,0,1,780539
0.13,242.28,1.2,0,0,0,781979
0.254,241.91,1.8,0,2,0,783419
0.336,237.54,10.4,0,23,0,784859
0.578,242.66,3.4,0,1,1,786299
0.152,237.44,8,0,4,18,787739
0.112,242.07,2.8,0,0,0,789179
0,242.78,0.8,0,0,1,790619
0.21,242.04,2.2,0,2,1,792059
0.256,238.47,10.8,0,23,12,793499
0.21,237.69,6.2,0,1,18,794939
0.306,237.77,7.6,0,0,18,796379
0.386,239.67,7.2,1,0,19,797819
0,239.8,1,0,0,1,799259
0.082,239.2,0.8,0,0,0,800699
0.282,240.31,1.6,0,0,0,802139
0.116,239.75,1,0,0,1,803579
0.34,236.6,17,38,0,18,805019
0.106,236.57,2,0,2,1,806459
0,239.19,0.6,0,0,1,807899
0.28,240.96,5,0,0,12,809339
0.22,239.66,1.6,0,0,0,810779
0.226,239.97,2.8,0,0,1,812219
0.194,240.04,1.8,0,0,1,813659
0.106,238.24,5.4,0,0,18,815099
0.162,240.8,5.6,0,0,18,816539
0,238.48,5.8,0,0,18,817979
0.106,239.47,1,0,0,0,819419
0.148,239.61,1.8,0,0,1,820859
0.1,241.54,1.2,0,0,1,822299
0.048,241.14,3.6,0,0,1,823739
0.336,238.16,8.4,0,0,18,825179
0.208,240.45,3.8,0,0,11,826619
0.162,239.01,2.4,0,0,1,828059
0.458,236.05,17.8,0,35,1,829499
0.202,240.9,2.2,0,2,1,830939
0.14,242.85,1.2,0,0,1,832379
0.106,240.92,6.8,0,0,18,833819
0.228,237.4,2.8,0,1,1,835259
0.236,241.04,1.6,0,1,0,836699
0.156,238.94,3,0,0,7,838139
0,239.28,0.6,0,0,1,839579
0.122,240.64,1,0,0,1,841019
0.194,241.75,1.6,0,1,1,842459
0.12,241.91,1.6,0,0,1,843899
0,237.67,6,0,0,19,845339
0,241.8,0.6,0,0,0,846779
0.384,235.67,16.6,0,37,0,848219
0.1,241.12,2,0,0,1,849659
0.342,241.44,5.6,0,2,13,851099
0.22,237.39,7.2,0,0,18,852539
0.058,238.27,1.2,0,0,1,853979
0.098,239.38,1,0,0,1,855419
0,236.09,0.6,0,0,1,856859
0.09,236.2,1,0,0,1,858299
0.082,235.71,11.2,0,34,1,859739
0.134,237.88,0.8,0,2,1,861179
0.244,241.07,1.4,0,2,1,862619
0.37,239.84,2,0,1,1,864059
0.21,238.88,1.4,0,1,1,865499
0,240.6,0.2,0,0,1,866939
0.14,240.19,0.8,0,1,0,868379
0.238,241.12,3,0,0,7,869819
0,241.7,0.2,0,0,0,871259
0.276,241.21,1.4,0,1,1,872699
0,242.42,0.4,0,0,1,874139
0.122,240.36,0.8,0,0,1,875579
0.154,241.47,0.8,0,0,1,877019
0.142,241.13,0.8,0,1,0,878459
0.276,241.49,1.4,0,1,1,879899
0.246,241.51,1.4,0,1,1,881339
0.144,242.06,0.8,0,1,1,882779
0.254,240.83,1.4,0,0,1,884219
0.176,242.53,1,0,0,0,885659
0.126,242.06,0.8,0,0,1,887099
0.242,240.2,1.4,0,1,1,888539
0,237.86,0.2,0,0,1,889979
0,239.88,0.2,0,0,1,891419
0.178,240.96,1.2,0,1,1,892859
0.138,239.59,0.8,0,2,1,894299
0,241.96,0.2,0,0,1,895739
0,240.74,0.2,0,0,1,897179
0.158,241.58,8.4,0,0,19,898619
0.076,237.85,1,0,0,1,900059
0.192,241.76,2,0,0,1,901499
0.096,240.9,3.4,0,0,12,902939
0.102,239.64,1,0,0,1,904379
0.124,239.49,1,0,0,1,905819
0.168,240.52,2.4,0,3,1,907259
0.194,240.58,2.6,0,0,0,908699
0.082,241.43,1,0,0,0,910139
0.114,241.48,1.2,0,0,0,911579
0,242.06,0.6,0,0,1,913019
0.2,240.32,1.4,0,2,0,914459
0.354,239.25,4.6,0,1,0,915899
0,239.73,0.8,0,0,0,917339
0,238.25,3.6,0,0,0,918779
0,239.32,5.8,0,0,19,920219
0,239.5,1.8,0,0,0,921659
0.102,240.24,1,0,0,0,923099
0,239.8,2.8,0,0,0,924539
0.112,240.94,5.4,0,1,19,925979
0.114,240.97,1,0,0,1,927419
0.242,240.86,7,0,2,19,928859
0.192,241.23,2.2,0,0,1,930299
0,240.09,2.2,0,0,0,931739
0.114,242.54,1,0,0,1,933179
0.11,242.3,1,0,2,1,934619
0,242.85,0.6,0,0,1,936059
0.31,239.19,16,38,2,18,937499
0.064,239.36,2.4,0,0,0,938939
0,240.75,1.2,0,0,0,940379
0.2,238.05,7.2,0,0,11,941819
0.08,242.71,1.4,0,0,1,943259
0.102,240.27,1.4,0,0,1,944699
0.064,240.63,1.4,0,0,1,946139
0.102,240.47,4.8,0,0,1,947579
0,242.62,1.2,0,0,1,949019
0.07,240.11,2.2,0,0,1,950459
0,238.79,2.4,0,0,0,951899
0.174,238.17,5.2,0,0,12,953339
0.11,239.64,1.4,0,0,1,954779
0.366,237.1,5.2,0,1,10,956219
0.056,240.6,1.6,0,1,0,957659
0.056,236.31,3.8,0,0,1,959099
0.072,239.39,1.6,0,0,0,960539
0.18,237.04,1.8,0,1,1,961979
0.228,240.52,7,0,5,1,963419
0.084,237.96,1.8,0,0,1,964859
0.176,239.49,8.4,0,21,0,966299
0,237.47,6.6,0,1,18,967739
0.1,239.2,2,0,0,1,969179
0.114,237.59,4.4,0,2,1,970619
0.084,238.04,3.6,0,0,1,972059
0.29,237.24,4,0,1,0,973499
0.308,238.93,3.6,0,1,1,974939
0.264,240.47,5.6,0,2,1,976379
0.056,236.14,5.6,0,0,17,977819
0.056,238.65,0.8,0,0,0,979259
0.176,239.72,1.6,0,0,0,980699
0.066,240.11,4.6,0,0,0,982139
0,238.84,3,0,0,0,983579
0.07,238.76,2.4,0,0,0,985019
0.046,239.95,6.2,0,0,17,986459
0,238.85,2.4,0,0,0,987899
0.166,238.29,2.8,0,0,0,989339
0,237.92,1.4,1,0,0,990779
0,235.79,10.2,0,0,0,992219
0.244,238.94,8.6,0,1,0,993659
0,240.78,7.2,0,0,18,995099
0.064,238.65,3,0,0,0,996539
0,237.11,7.8,0,0,0,997979
0.294,237.72,14.4,7,1,18,999419
0.086,237.09,2.2,0,0,0,1000859
0,235.46,8.6,0,0,0,1002299
